Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
69,0.16,13.813,0.157,0.607,0.013,0.071,0.273,2.424,0,0.062,0.066,0.028,0.042,0.042,0,0,0.002,1.58,7.598,4.065,0.117,9.368,0.041,0.002,0.034,0,3.168,0,3.03,13.53,2.94,300.17,30.53,70,42.74,155.56,18.97
70,0.592,9.309,0.239,1.205,0.026,0.021,0.112,3.889,0,0.274,0,0.03,0.041,0.041,0.047,0,0,0,1.148,3.349,0,7.897,0.168,0,0.018,0,2.111,0,4.83,10.51,1.46,191.79,12.41,38.9,53.74,100.98,14.1
71,0.931,8.166,0.242,1.393,0.022,0.006,0.157,5.661,0,0.467,0,0.019,0.033,0.033,0.053,0,0.002,0,15.639,3.272,0.092,9.178,0.231,0.007,0.03,0,2.661,0,5.06,10.39,1.5,242.66,22.44,37.45,52.35,125.35,16.54
72,0.26,7.657,0.075,7.566,0.009,-0.005,0.162,15.158,0,1.376,0,0.032,0.044,0.044,0,0.113,0.01,0,4.746,3.041,0.015,9.119,0.061,0.002,0.036,0,2.997,0,3.14,11.32,1.08,290.15,19.96,32.75,41.08,137.75,17.18
73,0.507,9.471,0.078,4.935,0.026,0.021,0.111,20.868,0,1.88,0,0.035,0.031,0.031,0.049,0,0.101,0,2.968,3.899,0.062,4.337,0.044,0.005,0.017,0,1.191,0,3.16,5.55,1.73,286.08,13.08,38.72,32.89,144.74,16.39
74,0.276,8.114,0.15,1.431,0.045,0.037,0.379,7.455,0,0.492,0,0.028,0.057,0.057,0.05,0,0,0,5.369,4.02,0.085,10.251,0.071,0,0.059,0,3.67,0,4.16,12.91,1.26,225.11,19.91,34.13,43.6,117.17,14.75
75,0.148,7.622,0.146,0.789,0.032,0.022,0.286,1.521,0,0.076,0,0.018,0.021,0.021,0.096,0,0.001,0,3.594,1.152,0,7.95,0.039,0.005,0.036,0,2.13,0,2.91,9.55,0.91,166.16,14.96,32.26,28.25,87.51,11.49
76,0.504,6.619,0.074,1.858,0.032,0.086,0.519,9.28,0,0.164,0,0.047,0.095,0.095,0,0,0.001,0,11.308,1.987,0.115,10.634,0.017,0.004,0.047,0,3.906,0,2.19,10.93,0.97,135.98,22.9,27.72,30.54,68.49,9.64
77,0.106,5.124,0.088,3.398,0.014,0.004,0.214,2.703,0,0.125,0.034,0,0.03,0.03,0,0,0.001,1.417,2.168,0.354,0.026,3.342,0.003,0.002,0.009,0,1.004,0,1.28,5.02,0.69,121.97,11.38,19.86,23.37,62.84,7.69
78,0.333,6.46,0.145,1.967,0.008,0.067,0.262,3.139,0,0.134,0,0.033,0.02,0.02,0,0,0.002,0,2.728,2.949,0.04,5.383,0.055,0.003,0.026,0,1.696,0,1.96,6.37,1.36,187.88,12.87,23.92,40.71,95.31,11.84
